"","group","Season","Year","Week","date","cases_H3","cases_total","Source","log_count","dt","gr","gr_smooth","date_int","log_y","fitted_log","fitted_se","lower","upper","r_week","lower_r","upper_r"
"550","15-44","2024/25",2024,45,2024-11-10,10.362207639,41.448830556,"RCGP",2.38528957552274,7,-0.225254132582206,-0.0778443394245834,97,2.34776949172146,2.90982639172226,0.187784041309217,2.54176967075619,3.27788311268832,0.215065553605205,0.216499784900059,0.213631322310351
"551","15-44","2024/25",2024,46,2024-11-17,18.349025487,61.16341829,"RCGP",2.93646121425523,7,0.551171638732485,0.144066581370449,98,2.91501154995877,3.12672958897925,0.188312200628155,2.75763767574807,3.49582150221044,0.216903197256998,0.215868004991879,0.217938389522117
"552","15-44","2024/25",2024,47,2024-11-24,28.1432051325,125.0809117,"RCGP",3.35491624688185,7,0.418455032626619,0.2481241795923,99,3.34085290237818,3.34209941163276,0.189830243225453,2.97003213491087,3.71416668835465,0.215369822653507,0.212394459162804,0.21834518614421
"553","15-44","2024/25",2024,48,2024-12-01,40.28695511475,214.863760612,"RCGP",3.7083623027067,7,0.353446055824851,0.441024242394652,100,3.69850683962661,3.55265186151758,0.191530643898809,3.17725179947591,3.92805192355925,0.210552449884819,0.207219664565041,0.213885235204597
"554","15-44","2024/25",2024,49,2024-12-08,38.7610572444445,436.061894,"RCGP",3.67023311778895,7,-0.0381291849177501,0.24459063451124,101,3.65999265007546,3.75508923336935,0.192507449664916,3.37777463202612,4.13240383471259,0.202437371851773,0.200522832550204,0.204351911153342
"555","15-44","2024/25",2024,50,2024-12-15,49.319918651617,772.678725542,"RCGP",3.9084148769868,7,0.238181759197847,0.184499543368316,102,3.90035355449713,3.9459778140127,0.192226148301756,3.56921456334126,4.32274106468414,0.190888580643349,0.191439931315143,0.190337229971555
"556","15-44","2024/25",2024,51,2024-12-22,79.6964737965927,1229.602738576,"RCGP",4.38447954628233,7,0.476064669295535,0.225372414525211,103,4.37947931546682,4.1216384149361,0.190796148012297,3.747677964832,4.4955988650402,0.175660600923399,0.178463401490738,0.17285780035606
"557","15-44","2024/25",2024,52,2024-12-29,84.2372646412427,1084.554782256,"RCGP",4.43955546524908,7,0.0550759189667529,0.256440782486712,104,4.43482381527223,4.27808204011918,0.188938673461151,3.90776224013532,4.64840184010303,0.156443625183079,0.160084275303325,0.152802975062833
"558","15-44","2024/25",2025,2,2025-01-12,88.943026005037,1200.730851068,"RCGP",4.49360184162782,14,0.0270231881893683,0.186054592150552,105,4.48911969117236,4.41101585926502,0.187647461283703,4.04322683514896,4.77880488338108,0.132933819145844,0.135464595013641,0.130403043278046
"559","15-44","2024/25",2025,3,2025-01-19,84.7935823902609,975.126197488,"RCGP",4.44609921591419,7,-0.0475026257136353,0.0115321604808287,106,4.4413985002395,4.51593366022048,0.187664336125732,4.14811156141405,4.88375575902692,0.104917800955459,0.104884726265083,0.104950875645835
"560","15-44","2024/25",2025,4,2025-01-26,99.751257395122,817.96031064,"RCGP",4.60767960870275,7,0.161580392788569,0.0470336517547672,107,4.60368165262302,4.58829177561966,0.189044000615046,4.21776553441417,4.95881801682515,0.0723581153991795,0.0696539730001238,0.0750622577982352
"561","15-44","2024/25",2025,5,2025-02-02,114.729909366635,696.574449726,"RCGP",4.74692934448248,7,0.139249735779731,0.0844425009515547,108,4.7434519845048,4.62375807139104,0.191099223638727,4.24920359305913,4.99831254972294,0.0354662957713785,0.0314380586449641,0.0394945328977929
"562","15-44","2024/25",2025,6,2025-02-09,89.7123958275348,642.938836764,"RCGP",4.50216684365237,7,-0.244762500830113,0.0186892092460621,109,4.4977230039503,4.61850989318521,0.192772939559454,4.24067493164868,4.99634485472174,-0.00524817820582779,-0.00852866141045272,-0.00196769500120286
"563","15-44","2024/25",2025,7,2025-02-16,91.9360349149091,589.922890704,"RCGP",4.52651689087858,7,0.0243500472262035,-0.0270542392747262,110,4.52218018421865,4.56954855330745,0.193192735420607,4.19089079188306,4.94820631473184,-0.0489613398777573,-0.0497841397656176,-0.048138539989897
"564","15-44","2024/25",2025,8,2025-02-23,108.530960284444,627.92912736,"RCGP",4.69163188120445,7,0.165114990325871,-0.0184324877593462,111,4.68795645236281,4.47499415771771,0.192106703653159,4.09846501855752,4.8515232968779,-0.094554395589741,-0.0924257733255427,-0.0966830178539393
"565","15-44","2024/25",2025,10,2025-03-09,59.407695401,356.446172406,"RCGP",4.09280496767107,14,-0.299413456766687,-0.0366494730715375,112,4.08610563865919,4.33432581042523,0.190023147400201,3.96188044152083,4.70677117932962,-0.140668347292486,-0.136584577036689,-0.144752117548284
"566","15-44","2024/25",2025,11,2025-03-16,66.5845144313793,257.460122468,"RCGP",4.20595323390607,7,0.113148266234998,-0.00705006673527256,113,4.19997275852096,4.1485382627586,0.187997023842017,3.78006409602825,4.51701242948896,-0.185787547666624,-0.181816345492583,-0.189758749840665
