"","Source","Year","Week","Season","date","cases_H3","gr","gr_smooth","date_int","log_y","fitted_log","fitted_se","lower","upper","r_week","lower_r","upper_r"
"943","UKHSA",2014,6,"2013/14",2014-02-03,31.8405797101449,0.475602964407035,0.321339051831983,355,3.46387729259539,3.46122337575878,0.291971907877649,2.88895843631859,4.03348831519898,0.0865539801432527,0.0923418913068055,0.0807660689796998
"944","UKHSA",2014,7,"2013/14",2014-02-10,29.2048192771084,-0.0850134816044825,0.115411101176287,357,3.37775198294498,3.60023127465537,0.296919868879817,3.01826833165093,4.18219421765981,0.0695039494482952,0.0646549476661713,0.0743529512304191
"945","UKHSA",2014,8,"2013/14",2014-02-17,34.0363636363636,0.150703489527626,0.180430990776726,359,3.53036319840582,3.70072223700081,0.308986238024797,3.09510921047221,4.30633526352941,0.0502454811727169,0.0384204394106362,0.0620705229347975
"946","UKHSA",2014,9,"2013/14",2014-02-24,70.1069518716578,0.715115820693367,0.260268609538837,361,4.25144733563946,3.75827938763385,0.318852486434083,3.13332851422305,4.38323026104465,0.02877857531652,0.0191096518754192,0.0384474987576207
"947","UKHSA",2014,10,"2013/14",2014-03-03,48.8098159509202,-0.359005440349464,0.168937956623843,363,3.88997811152886,3.76873857044032,0.31749210561225,3.14645404344031,4.39102309744033,0.00522959140323431,0.00656276460863081,0.00389641819783781
"948","UKHSA",2014,11,"2013/14",2014-03-10,62.792,0.249635771117624,0.201915383820509,365,4.14141896960803,3.73169166860108,0.306215908821173,3.13150848731158,4.33187484989058,-0.0185234509196168,-0.00747277806436175,-0.0295741237748719
"949","UKHSA",2014,12,"2013/14",2014-03-17,19.8674698795181,-1.13381992450539,-0.414396531245745,367,2.9941044433329,3.64960904269071,0.294704697557412,3.07198783547818,4.22723024990324,-0.0410413129551854,-0.0297603259166994,-0.0523222999936714
"950","UKHSA",2014,13,"2013/14",2014-03-24,50.2717391304348,0.913400869101724,0.00973890523798497,369,3.91943028626961,3.52503435475848,0.291634282274668,2.95343116150013,4.09663754801683,-0.0622873439661169,-0.0592783369890277,-0.0652963509432061
"951","UKHSA",2014,14,"2013/14",2014-03-31,45.7831325301205,-0.0925622969419759,-0.104327117448548,371,3.82609756652416,3.36051126685368,0.299210290304333,2.77405909785719,3.94696343585017,-0.082261543952399,-0.0896860318214705,-0.0748370560833276
"952","UKHSA",2014,15,"2013/14",2014-04-07,16.1860465116279,-1.02020475457088,-0.0664553941370431,373,2.79030869896791,3.1585834410256,0.311490456920985,2.54806214546047,3.76910473659073,-0.100963912914039,-0.112998476198358,-0.0889293496297192
