"Measure","Time","Time_type","Geography","Geography_type","Geography_code","Ethnicity","Ethnicity_type","Age_Group","Value1","Value1_type","Value2","Value2_type","Numerator","Denominator"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","East of England","Regional","E12000006","Mixed","ONS 2021 5+1","All","2.833045887","% of Total Age Group Population","100","% of Total Ethnic Group Population","179460","6334525"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","London","Regional","E12000007","Mixed","ONS 2021 5+1","All","5.747193054","% of Total Age Group Population","100","% of Total Ethnic Group Population","505730","8799600"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","North East","Regional","E12000001","Mixed","ONS 2021 5+1","All","1.248689047","% of Total Age Group Population","100","% of Total Ethnic Group Population","33040","2645975"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","North West","Regional","E12000002","Mixed","ONS 2021 5+1","All","2.197562908","% of Total Age Group Population","100","% of Total Ethnic Group Population","162985","7416625"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","South East","Regional","E12000008","Mixed","ONS 2021 5+1","All","2.810525323","% of Total Age Group Population","100","% of Total Ethnic Group Population","260750","9277625"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","South West","Regional","E12000009","Mixed","ONS 2021 5+1","All","1.997923051","% of Total Age Group Population","100","% of Total Ethnic Group Population","113895","5700670"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","West Midlands","Regional","E12000005","Mixed","ONS 2021 5+1","All","2.992249847","% of Total Age Group Population","100","% of Total Ethnic Group Population","178045","5950205"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","Yorkshire and The Humber","Regional","E12000003","Mixed","ONS 2021 5+1","All","2.130839416","% of Total Age Group Population","100","% of Total Ethnic Group Population","116770","5480000"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","All - England and Wales","National","K04000001","Mixed White and Asian","ONS 2021 19+1","All","0.819137602","% of Total Age Group Population","100","% of Total Ethnic Group Population","488185","59597435"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","England","National","E92000001","Mixed White and Asian","ONS 2021 19+1","All","0.839423947","% of Total Age Group Population","100","% of Total Ethnic Group Population","474190","56489930"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","Wales","National","W92000004","Mixed White and Asian","ONS 2021 19+1","All","0.449708752","% of Total Age Group Population","100","% of Total Ethnic Group Population","13970","3106455"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","East Midlands","Regional","E12000004","Mixed White and Asian","ONS 2021 19+1","All","0.629902056","% of Total Age Group Population","100","% of Total Ethnic Group Population","30735","4879330"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","East of England","Regional","E12000006","Mixed White and Asian","ONS 2021 19+1","All","0.812057731","% of Total Age Group Population","100","% of Total Ethnic Group Population","51440","6334525"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","London","Regional","E12000007","Mixed White and Asian","ONS 2021 19+1","All","1.422621483","% of Total Age Group Population","100","% of Total Ethnic Group Population","125185","8799600"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","North East","Regional","E12000001","Mixed White and Asian","ONS 2021 19+1","All","0.469959089","% of Total Age Group Population","100","% of Total Ethnic Group Population","12435","2645975"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","North West","Regional","E12000002","Mixed White and Asian","ONS 2021 19+1","All","0.643891258","% of Total Age Group Population","100","% of Total Ethnic Group Population","47755","7416625"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","South East","Regional","E12000008","Mixed White and Asian","ONS 2021 19+1","All","0.949434796","% of Total Age Group Population","100","% of Total Ethnic Group Population","88085","9277625"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","South West","Regional","E12000009","Mixed White and Asian","ONS 2021 19+1","All","0.61220874","% of Total Age Group Population","100","% of Total Ethnic Group Population","34900","5700670"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","West Midlands","Regional","E12000005","Mixed White and Asian","ONS 2021 19+1","All","0.78030925","% of Total Age Group Population","100","% of Total Ethnic Group Population","46430","5950205"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","Yorkshire and The Humber","Regional","E12000003","Mixed White and Asian","ONS 2021 19+1","All","0.671989051","% of Total Age Group Population","100","% of Total Ethnic Group Population","36825","5480000"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","All - England and Wales","National","K04000001","Mixed White and Black African","ONS 2021 19+1","All","0.418751243","% of Total Age Group Population","100","% of Total Ethnic Group Population","249565","59597435"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","England","National","E92000001","Mixed White and Black African","ONS 2021 19+1","All","0.42756293","% of Total Age Group Population","100","% of Total Ethnic Group Population","241530","56489930"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","Wales","National","W92000004","Mixed White and Black African","ONS 2021 19+1","All","0.257367321","% of Total Age Group Population","100","% of Total Ethnic Group Population","7995","3106455"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","East Midlands","Regional","E12000004","Mixed White and Black African","ONS 2021 19+1","All","0.292765605","% of Total Age Group Population","100","% of Total Ethnic Group Population","14285","4879330"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","East of England","Regional","E12000006","Mixed White and Black African","ONS 2021 19+1","All","0.431287271","% of Total Age Group Population","100","% of Total Ethnic Group Population","27320","6334525"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","London","Regional","E12000007","Mixed White and Black African","ONS 2021 19+1","All","0.878960407","% of Total Age Group Population","100","% of Total Ethnic Group Population","77345","8799600"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","North East","Regional","E12000001","Mixed White and Black African","ONS 2021 19+1","All","0.245089239","% of Total Age Group Population","100","% of Total Ethnic Group Population","6485","2645975"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","North West","Regional","E12000002","Mixed White and Black African","ONS 2021 19+1","All","0.403687661","% of Total Age Group Population","100","% of Total Ethnic Group Population","29940","7416625"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","South East","Regional","E12000008","Mixed White and Black African","ONS 2021 19+1","All","0.415839183","% of Total Age Group Population","100","% of Total Ethnic Group Population","38580","9277625"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","South West","Regional","E12000009","Mixed White and Black African","ONS 2021 19+1","All","0.273476626","% of Total Age Group Population","100","% of Total Ethnic Group Population","15590","5700670"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","West Midlands","Regional","E12000005","Mixed White and Black African","ONS 2021 19+1","All","0.268057991","% of Total Age Group Population","100","% of Total Ethnic Group Population","15950","5950205"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","Yorkshire and The Humber","Regional","E12000003","Mixed White and Black African","ONS 2021 19+1","All","0.284306569","% of Total Age Group Population","100","% of Total Ethnic Group Population","15580","5480000"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","All - England and Wales","National","K04000001","Mixed White and Black Caribbean","ONS 2021 19+1","All","0.860834028","% of Total Age Group Population","100","% of Total Ethnic Group Population","513035","59597435"
