week,virus,age,percent,date_start
30,H3,<5,0,22/07/2024
30,A,<5,0,22/07/2024
31,fluB,<5,0,29/07/2024
31,H1,<5,0.040754757,29/07/2024
31,H3,<5,0,29/07/2024
31,A,<5,0,29/07/2024
32,fluB,<5,0,05/08/2024
32,H1,<5,0,05/08/2024
32,H3,<5,0,05/08/2024
32,A,<5,0,05/08/2024
33,fluB,<5,0,12/08/2024
33,H1,<5,0,12/08/2024
33,H3,<5,0,12/08/2024
33,A,<5,0,12/08/2024
34,fluB,<5,0,19/08/2024
34,H1,<5,0,19/08/2024
34,H3,<5,0,19/08/2024
34,A,<5,0,19/08/2024
35,fluB,<5,0,26/08/2024
35,H1,<5,0,26/08/2024
35,H3,<5,0.11081259595130157,26/08/2024
35,A,<5,0,26/08/2024
36,fluB,<5,0,02/09/2024
36,H1,<5,0,02/09/2024
36,H3,<5,0,02/09/2024
36,A,<5,0,02/09/2024
37,fluB,<5,0,09/09/2024
37,H1,<5,0,09/09/2024
37,H3,<5,0,09/09/2024
37,A,<5,0.050091042,09/09/2024
38,fluB,<5,0,16/09/2024
38,H1,<5,0,16/09/2024
38,H3,<5,0.027839266,16/09/2024
38,A,<5,0,16/09/2024
39,fluB,<5,0,23/09/2024
39,H1,<5,0,23/09/2024
39,H3,<5,0,23/09/2024
39,A,<5,0,23/09/2024
40,fluB,<5,0,30/09/2024
40,H1,<5,0.045181906,30/09/2024
40,H3,<5,0.017681817,30/09/2024
40,A,<5,0.001472741,30/09/2024
41,fluB,<5,0,07/10/2024
41,H1,<5,0,07/10/2024
41,H3,<5,0.017057017,07/10/2024
41,A,<5,0,07/10/2024
42,fluB,<5,0.028669356,14/10/2024
42,H1,<5,0.020609447,14/10/2024
42,H3,<5,0.017672891,14/10/2024
42,A,<5,0,14/10/2024
43,fluB,<5,0,21/10/2024
43,H1,<5,0.00641758,21/10/2024
43,H3,<5,0.027982077,21/10/2024
43,A,<5,0,21/10/2024
44,fluB,<5,0,28/10/2024
44,H1,<5,0,28/10/2024
44,H3,<5,0.04307544,28/10/2024
