Year,Week,date,group,ILI,N,ILI_per_100k,positivity,Season,percentage_h3,Influenza_cases,ILIplus
2023,20,2023-05-21,45-64,234.12294400000002,14632684,1.6,0.004,2022 to 2023,0,0.9364917760000001,0
2023,21,2023-05-28,45-64,248.755628,14632684,1.7,0.006999999999999998,2022 to 2023,0.2,1.7412893959999995,0.34825787919999995
2023,22,2023-06-04,45-64,204.85757600000002,14632684,1.4000000000000001,0.002,2022 to 2023,0.3333333333333333,0.409715152,0.13657171733333334
2023,23,2023-06-11,45-64,263.388312,14632684,1.8,0.002,2022 to 2023,0.5,0.526776624,0.263388312
2023,24,2023-06-18,45-64,146.32683999999998,14632684,0.9999999999999999,0.0029999999999999996,2022 to 2023,0.5,0.4389805199999999,0.21949025999999994
2023,25,2023-06-25,45-64,117.06147200000001,14632684,0.8,0.005999999999999999,2022 to 2023,0.25,0.702368832,0.175592208
2023,26,2023-07-02,45-64,146.32683999999998,14632684,0.9999999999999999,0.002,2022 to 2023,0.3333333333333333,0.29265367999999997,0.09755122666666666
2023,27,2023-07-09,45-64,160.95952400000002,14632684,1.1,0.009,2023 to 2024,0.25,1.448635716,0.362158929
2023,28,2023-07-16,45-64,175.59220799999997,14632684,1.1999999999999997,0.008,2023 to 2024,0.3333333333333333,1.4047376639999998,0.4682458879999999
2023,29,2023-07-23,45-64,190.224892,14632684,1.3000000000000003,0.0029999999999999996,2023 to 2024,0.3333333333333333,0.570674676,0.19022489199999998
2023,30,2023-07-30,45-64,263.388312,14632684,1.8,0.004,2023 to 2024,0.5,1.053553248,0.526776624
2023,31,2023-08-06,45-64,219.49025999999998,14632684,1.4999999999999998,0.001,2023 to 2024,0.5,0.21949026,0.10974513
2023,32,2023-08-13,45-64,248.755628,14632684,1.7,0.006999999999999998,2023 to 2024,0.25,1.7412893959999995,0.4353223489999999
2023,33,2023-08-20,45-64,234.12294400000002,14632684,1.6,0.004,2023 to 2024,0.25,0.9364917760000001,0.23412294400000003
2023,34,2023-08-27,45-64,204.85757600000002,14632684,1.4000000000000001,0.009,2023 to 2024,0.4,1.843718184,0.7374872736000001
2023,35,2023-09-03,45-64,248.755628,14632684,1.7,0.0029999999999999996,2023 to 2024,0.6666666666666666,0.746266884,0.49751125599999996
2023,36,2023-09-10,45-64,263.388312,14632684,1.8,0.005999999999999999,2023 to 2024,0.6,1.5803298719999996,0.9481979231999997
2023,37,2023-09-17,45-64,292.65367999999995,14632684,1.9999999999999998,0.0029999999999999996,2023 to 2024,0.4999999999999999,0.8779610399999997,0.43898051999999976
