week,virus,age,percent,date_start
100,H1,5,0.00152906678537889,2025-11-24
100,H3,5,0.614684847722368,2025-11-24
100,A,5,0.01377127870629324,2025-11-24
101,fluB,5,0.00933892055627061,2025-12-01
101,H1,5,0.00152906678537912,2025-12-01
101,H3,5,0,2025-12-01
101,A,5,0.7798143829054206,2025-12-01
1,fluB,<5,0,2024-01-01
1,H1,<5,0.02351922596308342,2024-01-01
1,H3,<5,0.02650933628476548,2024-01-01
1,A,<5,0,2024-01-01
2,fluB,<5,0.02777678603306088,2024-01-08
2,H1,<5,0.20913813417115937,2024-01-08
2,H3,<5,0.08099182405655311,2024-01-08
2,A,<5,0,2024-01-08
3,fluB,<5,0.03057053090078199,2024-01-15
3,H1,<5,0.16492912992252462,2024-01-15
3,H3,<5,0.04713663465314743,2024-01-15
3,A,<5,0,2024-01-15
4,fluB,<5,0,2024-01-22
4,H1,<5,0.12022921203898762,2024-01-22
4,H3,<5,0.02945481809418404,2024-01-22
4,A,<5,0,2024-01-22
5,fluB,<5,0,2024-01-29
5,H1,<5,0.11418651147845328,2024-01-29
5,H3,<5,0.06920989681887989,2024-01-29
5,A,<5,0,2024-01-29
6,fluB,<5,0.02567032025420412,2024-02-05
6,H1,<5,0.1251740511978292,2024-02-05
6,H3,<5,0.02504552108250912,2024-02-05
6,A,<5,0,2024-02-05
7,fluB,<5,0.01519154557463675,2024-02-12
7,H1,<5,0.1472651647684673,2024-02-12
7,H3,<5,0.04860044985540379,2024-02-12
7,A,<5,0,2024-02-12
8,fluB,<5,0,2024-02-19
8,H1,<5,0.07098611160698343,2024-02-19
8,H3,<5,0.03240029990360262,2024-02-19
8,A,<5,0,2024-02-19
9,fluB,<5,0,2024-02-26
9,H1,<5,0.08260737620050707,2024-02-26
9,H3,<5,0.01915455746367245,2024-02-26
9,A,<5,0,2024-02-26
10,fluB,<5,0.02648255917740738,2024-03-04
10,H1,<5,0.01620014995180118,2024-03-04
10,H3,<5,0.01620014995180141,2024-03-04
10,A,<5,0,2024-03-04
11,fluB,<5,0,2024-03-11
11,H1,<5,0.03957656467564008,2024-03-11
11,H3,<5,0.02355492877289422,2024-03-11
11,A,<5,0,2024-03-11
12,fluB,<5,0,2024-03-18
12,H1,<5,0.03352493841265325,2024-03-18
12,H3,<5,0.02062729836838173,2024-03-18
12,A,<5,0,2024-03-18
13,fluB,<5,0.02010068192366732,2024-03-25
13,H1,<5,0,2024-03-25
13,H3,<5,0.01863686672141096,2024-03-25
13,A,<5,0.00293655610696585,2024-03-25
14,fluB,<5,7.9438751829763e-4,2024-04-01
14,H1,<5,0,2024-04-01
14,H3,<5,0,2024-04-01
14,A,<5,0,2024-04-01
15,fluB,<5,0,2024-04-08
15,H1,<5,0.033042950480203,2024-04-08
15,H3,<5,0,2024-04-08
15,A,<5,0,2024-04-08
16,fluB,<5,0.06821914384662087,2024-04-15
16,H1,<5,0.03828233781998635,2024-04-15
16,H3,<5,0,2024-04-15
16,A,<5,0.00295440751187126,2024-04-15
17,fluB,<5,0,2024-04-22
17,H1,<5,0,2024-04-22
17,H3,<5,0,2024-04-22
17,A,<5,0,2024-04-22
18,fluB,<5,0,2024-04-29
18,H1,<5,0,2024-04-29
18,H3,<5,0,2024-04-29
18,A,<5,0,2024-04-29
19,fluB,<5,0,2024-05-06
19,H1,<5,0,2024-05-06
19,H3,<5,0,2024-05-06
19,A,<5,0,2024-05-06
20,fluB,<5,0.04696704630654458,2024-05-13
20,H1,<5,0,2024-05-13
20,H3,<5,0.09408582955478596,2024-05-13
20,A,<5,0.0014816666071622,2024-05-13
21,fluB,<5,0,2024-05-20
21,H1,<5,0,2024-05-20
21,H3,<5,0,2024-05-20
21,A,<5,0,2024-05-20
22,fluB,<5,0.03484594237566507,2024-05-27
22,H1,<5,0,2024-05-27
22,H3,<5,0.03779142418508341,2024-05-27
22,A,<5,0.00147274090470927,2024-05-27
23,fluB,<5,0,2024-06-03
23,H1,<5,0,2024-06-03
23,H3,<5,0,2024-06-03
23,A,<5,0,2024-06-03
24,fluB,<5,0,2024-06-10
24,H1,<5,0,2024-06-10
24,H3,<5,0,2024-06-10
24,A,<5,0,2024-06-10
25,fluB,<5,0,2024-06-17
25,H1,<5,0,2024-06-17
25,H3,<5,0,2024-06-17
25,A,<5,0,2024-06-17
26,fluB,<5,0,2024-06-24
26,H1,<5,0,2024-06-24
26,H3,<5,0,2024-06-24
26,A,<5,0,2024-06-24
27,fluB,<5,0,2024-07-01
27,H1,<5,0,2024-07-01
27,H3,<5,0,2024-07-01
27,A,<5,0,2024-07-01
28,fluB,<5,0,2024-07-08
28,H1,<5,0,2024-07-08
28,H3,<5,0,2024-07-08
28,A,<5,0,2024-07-08
29,fluB,<5,0,2024-07-15
29,H1,<5,0,2024-07-15
29,H3,<5,0,2024-07-15
29,A,<5,0,2024-07-15
30,fluB,<5,0,2024-07-22
30,H1,<5,0,2024-07-22
30,H3,<5,0,2024-07-22
30,A,<5,0,2024-07-22
31,fluB,<5,0,2024-07-29
31,H1,<5,0.04075475739940759,2024-07-29
31,H3,<5,0,2024-07-29
31,A,<5,0,2024-07-29
32,fluB,<5,0,2024-08-05
32,H1,<5,0,2024-08-05
32,H3,<5,0,2024-08-05
32,A,<5,0,2024-08-05
33,fluB,<5,0,2024-08-12
33,H1,<5,0,2024-08-12
33,H3,<5,0,2024-08-12
33,A,<5,0,2024-08-12
34,fluB,<5,0,2024-08-19
