date,H3_sum,flu_pos_sum,Year,Week,Season
2024-01-01,1408,4037,2024,1,2023/24
2024-01-08,1055,2417,2024,2,2023/24
2024-01-15,1378,4442,2024,3,2023/24
2024-01-22,2271,5607,2024,4,2023/24
2024-01-29,1440,5074,2024,5,2023/24
2024-02-05,1104,4647,2024,6,2023/24
2024-02-12,1025,3527,2024,7,2023/24
2024-02-19,927,2604,2024,8,2023/24
2024-02-26,868,2045,2024,9,2023/24
2024-03-04,565,1904,2024,10,2023/24
2024-03-11,616,2118,2024,11,2023/24
2024-03-18,812,1620,2024,12,2023/24
2024-03-25,521,1151,2024,13,2023/24
2024-04-01,441,1181,2024,14,2023/24
2024-04-08,316,738,2024,15,2023/24
2024-04-15,165,455,2024,16,2023/24
2024-04-22,157,520,2024,17,2023/24
2024-04-29,164,548,2024,18,2023/24
2024-05-06,63,422,2024,19,2023/24
2024-05-13,100,339,2024,20,2023/24
2024-05-20,81,205,2024,21,2023/24
2024-05-27,65,160,2024,22,2023/24
2024-06-03,33,211,2024,23,2023/24
2024-06-10,59,177,2024,24,2023/24
2024-06-17,49,192,2024,25,2023/24
2024-06-24,5,275,2024,26,2023/24
2024-07-01,114,262,2024,27,2024/25
2024-07-08,80,292,2024,28,2024/25
2024-07-15,141,357,2024,29,2024/25
2024-07-22,143,374,2024,30,2024/25
2024-07-29,147,227,2024,31,2024/25
2024-08-05,143,268,2024,32,2024/25
2024-08-12,217,278,2024,33,2024/25
2024-08-19,135,236,2024,34,2024/25
2024-08-26,86,240,2024,35,2024/25
2024-09-02,85,238,2024,36,2024/25
2024-09-09,144,256,2024,37,2024/25
2024-09-16,156,340,2024,38,2024/25
2024-09-23,247,436,2024,39,2024/25
2024-09-30,150,445,2024,40,2024/25
2024-10-07,295,547,2024,41,2024/25
2024-10-14,192,638,2024,42,2024/25
2024-10-21,239,627,2024,43,2024/25
2024-10-28,384,1495,2024,44,2024/25
2024-11-04,173,775,2024,45,2024/25
2024-11-11,116,1018,2024,46,2024/25
2024-11-18,237,1690,2024,47,2024/25
2024-11-25,230,2931,2024,48,2024/25
2024-12-02,413,4944,2024,49,2024/25
2024-12-09,452,6953,2024,50,2024/25
2024-12-16,549,10012,2024,51,2024/25
2024-12-23,126,10606,2024,52,2024/25
2024-12-30,316,10793,2024,1,2024/25
2025-01-06,458,8686,2025,2,2024/25
2025-01-13,467,6496,2025,3,2024/25
2025-01-20,362,5717,2025,4,2024/25
2025-01-27,349,5048,2025,5,2024/25
2025-02-03,567,4267,2025,6,2024/25
2025-02-10,317,3748,2025,7,2024/25
2025-02-17,372,3636,2025,8,2024/25
2025-02-24,391,3156,2025,9,2024/25
2025-03-03,570,2783,2025,10,2024/25
2025-03-10,527,2332,2025,11,2024/25
2025-03-17,397,2133,2025,12,2024/25
2025-03-24,517,2044,2025,13,2024/25
2025-03-31,339,1592,2025,14,2024/25
2025-04-07,319,1307,2025,15,2024/25
2025-04-14,194,982,2025,16,2024/25
2025-04-21,79,829,2025,17,2024/25
2025-04-28,210,602,2025,18,2024/25
2025-05-05,153,385,2025,19,2024/25
2025-05-12,0,352,2025,20,2024/25
2025-05-19,0,307,2025,21,2024/25
2025-05-26,110,252,2025,22,2024/25
2025-06-02,69,162,2025,23,2024/25
2025-06-09,0,241,2025,24,2024/25
2025-06-16,0,192,2025,25,2024/25
2025-06-23,0,195,2025,26,2024/25
2025-06-30,0,153,2025,27,2024/25
2025-07-07,0,162,2025,28,2025/26
2025-07-14,0,111,2025,29,2025/26
2025-07-21,1,91,2025,30,2025/26
2025-07-28,154,205,2025,31,2025/26
2025-08-04,82,117,2025,32,2025/26
2025-08-11,0,118,2025,33,2025/26
2025-08-18,52,148,2025,34,2025/26
2025-08-25,68,141,2025,35,2025/26
2025-09-01,100,186,2025,36,2025/26
2025-09-08,31,164,2025,37,2025/26
2025-09-15,0,242,2025,38,2025/26
2025-09-22,0,446,2025,39,2025/26
2025-09-29,523,752,2025,40,2025/26
2025-10-06,1058,1198,2025,41,2025/26
2025-10-13,1426,1567,2025,42,2025/26
2025-10-20,1417,2180,2025,43,2025/26
2025-10-27,2433,2937,2025,44,2025/26
2025-11-03,3017,3378,2025,45,2025/26
2025-11-10,2634,2913,2025,46,2025/26
2025-11-17,2748,3176,2025,47,2025/26
2025-11-24,4317,5695,2025,48,2025/26
2025-12-01,7239,7512,2025,49,2025/26
